age,gender,year,city,cause,pop,pov,urate,college,VictimID
42,Male,2015,Salt Lake City,Gunshot,3745,18.3,0.03653323,0.638549618,197
47,Male,2015,Palestine,Gunshot,4447,34.8,0.097790055,0.162665563,198
43,Male,2015,Charleston,Gunshot,8668,4,0.092042385,0.495871946,199
46,Male,2015,Craig,Gunshot,2892,7.7,0.041666667,0.207537688,200
44,Male,2015,Clarendon,Gunshot,4696,9.5,0.09765625,0.16256457,201
31,Male,2015,Memphis,Gunshot,3636,15.4,0.139391056,0.324362111,202
47,Male,2015,Green Ridge,Gunshot,4911,16.4,0.065677966,0.138937031,203
41,Male,2015,Napa,Gunshot,3524,8.6,0.066012002,0.482361963,204
43,Male,2015,Tulsa,Struck by vehicle,2712,21.1,0.119248218,0.319685039,205
40,Male,2015,Medford,Gunshot,5737,20.2,0.187595323,0.378757515,206
32,Male,2015,Northglenn,Gunshot,6851,12.4,0.08035982,0.106167401,207
31,Male,2015,Baton Rouge,Gunshot,1862,48.4,0.27734375,0.120772947,208
20,Male,2015,Sumas,Gunshot,8196,17.4,0.12704918,0.15408805,209
20,Female,2015,Charlotte,Gunshot,2986,68.2,0.422321429,0.079066753,210
33,Male,2015,Ocala,Gunshot,7471,14.1,0.108317215,0.200268817,211
22,Male,2015,New Orleans,Gunshot,678,57.1,0.20361991,0.087719298,212
41,Male,2015,Rudioso,Gunshot,6941,17.6,0.061612903,0.199338135,213
41,Male,2015,Ridgefield Park,Struck by vehicle,8810,9.3,0.066434996,0.487170943,214
32,Male,2015,Salemburg,Gunshot,5938,17.2,0.089311334,0.111002445,215
16,Male,2015,Essex,Gunshot,5437,11.3,0.115929459,0.136934307,216
29,Male,2015,Modesto,Gunshot,4296,11.6,0.092623405,0.276122083,217
42,Male,2015,Columbus,Gunshot,2993,13.4,0.063731932,0.243725869,218
29,Male,2015,Fort Lauderdale,Gunshot,8033,28.1,0.11313083,0.164427727,219
47,Male,2015,Bakersfield,Gunshot,1354,46.2,0.132231405,0.066834805,220
53,Male,2015,Emporia,Gunshot,4523,25.7,0.105973025,0.061827957,221
18,Male,2015,Chicago,Gunshot,1781,24.9,0.191593353,0.28164794,222
47,Male,2015,Williamsburg,Death in custody,6740,33.2,0.096566524,0.142857143,223
34,Male,2015,Draper,Gunshot,4748,7.7,0.018841912,0.328571429,224
36,Male,2015,Conyers,Gunshot,6084,8.1,0.140740741,0.225638353,225
63,Male,2015,Waikoloa Village,Struck by vehicle,7883,7.3,0.110093792,0.313166605,226
36,Male,2015,Tampa Bay,Gunshot,6993,7.9,0.063364345,0.424920803,227
27,Male,2015,Johnsonville,Gunshot,6384,24.1,0.151768733,0.109768379,228
28,Male,2015,Tallahassee,Gunshot,4498,32.6,0.133175195,0.38185567,229
33,Male,2015,Columbus,Gunshot,4419,26,0.145665323,0.06088993,230
32,Male,2015,Charleston,Gunshot,2875,16.6,0.044805195,0.779063361,231
42,Male,2015,Allentown,Gunshot,3436,11.3,0.072277228,0.19303675,232
31,Male,2015,Gettysburg,Gunshot,4923,13.9,0.030340815,0.224592221,233
17,Female,2015,Denver,Gunshot,4293,11.8,0.096314908,0.441001565,234
28,Female,2015,Tuscon ,Gunshot,6202,20.9,0.151329243,0.080025472,235
24,Male,2015,Bossier City,Gunshot,4302,26.4,0.082046758,0.166790767,236
71,Male,2015,England,Gunshot,2979,32.9,0.137774413,0.132464712,237
51,Male,2015,Waco,Gunshot,5506,36.1,0.140606992,0.058467131,238
28,Male,2015,Phoenix,Gunshot,4579,39.7,0.149219467,0.244320298,239
53,Male,2015,Nashville,Gunshot,3307,1.1,0.021902017,0.755110384,240
54,Male,2015,Boulder City,Gunshot,3042,13.6,0.116955446,0.120423467,241
45,Male,2015,Robinsonville,Gunshot,5683,31.4,0.091877986,0.174675128,242
33,Male,2015,Sarasota,Unknown,3522,15.2,0.114509804,0.497148004,243
48,Male,2015,Billings,Gunshot,3238,21.6,0.170554692,0.368347987,244
34,Male,2015,Albuquerque,Gunshot,3404,7.3,0.050728277,0.507961165,245
23,Male,2015,Wichita,Gunshot,4020,24.1,0.106899903,0.206730769,246
35,Male,2015,Calimesa,Gunshot,5651,16,0.119515253,0.148913897,247
33,Male,2015,Anchorage,Gunshot,2619,18.4,0.096503497,0.355088496,248
32,Male,2015,Maricopa,Gunshot,2732,7.1,0.067204301,0.427527406,249
52,Male,2015,Green,Gunshot,5977,15.3,0.085316847,0.347386588,250
30,Male,2015,New York,Gunshot,6081,42,0.086378738,0.234789009,251
23,Male,2015,San Bernadino,Gunshot,6230,15,0.102047449,0.169544297,252
35,Male,2015,Cabot,Gunshot,4227,22.6,0.07388664,0.207895842,253
42,Male,2015,Arlington,Death in custody,5947,36.4,0.106456044,0.390316206,254
