name,age,gender,year,city,state,cause,pop,p_income
bdefb5a5ae65df13122722b77a8bf7b9ecf024847672a6e6b84c7f6931d1ae86,"(14.927, 51.5]",Male,2015,Coconut Creek,sur,Taser,"(553.553, 13803.5]",27031
3bf01d878cdc875974b2a1bd665aeaa6d8b2a4cbd0ddda255039d3166123ddaf,"(14.927, 51.5]",Male,2015,Stockton,oeste,Gunshot,"(553.553, 13803.5]",11805
b70fb10051d661359db7495688e82528b9966da75a2220c02ba98e422a025c23,"(51.5, 88.0]",Male,2015,Bisbee,oeste,Gunshot,"(553.553, 13803.5]",20428
cd173154d3e2f700afe5780d870acd3ed3122ee113dc138f3cc20269d26180b6,"(51.5, 88.0]",Male,2015,Gunlock,sur,Gunshot,"(553.553, 13803.5]",12840
35301af75b2cd4c54702f00f1dc1f15dac40b7b63117514f56c8384d808014b5,"(51.5, 88.0]",Male,2015,St Augustine,sur,Gunshot,"(553.553, 13803.5]",31274
660934af9f9a4365c5cd462c4e0e7d68da5b0509bb856d0b050eb963a86bfc2f,"(14.927, 51.5]",Male,2015,Detroit,norte,Gunshot,"(553.553, 13803.5]",14177
11668f5beeffa49db63eafb1f7b4492a8915097a35435fd04a8bf7971c8a3aca,"(14.927, 51.5]",Male,2015,Cocoa,sur,Gunshot,"(553.553, 13803.5]",13805
85b57b62fe72dffbdcaebac002a156b73c9f08370bfc13d3c69e9cc0e7c265d3,"(14.927, 51.5]",Male,2015,Houston,sur,Gunshot,"(553.553, 13803.5]",16689
860d3dfb86bc88752eb2867a8a680e4afe94808ce6c55f5e56f98c40f311807f,"(14.927, 51.5]",Male,2015,Marysville,oeste,Taser,"(553.553, 13803.5]",14746
0ba01489362224467ab650a70cb43a9d3fff7d693df50f9e11c23dd6301faf2a,"(14.927, 51.5]",Male,2015,Los Angeles,oeste,Gunshot,"(553.553, 13803.5]",8206
122a484bc2c88ab27267aad376661c7bddd576eb59d8bcf0881fb5e14a07075d,"(14.927, 51.5]",Male,2015,Peltzer,sur,Gunshot,"(553.553, 13803.5]",22409
d6f44ce94d9c11f5ae81d279b8e1047e782102095663b10482b041c07bcdeda0,"(14.927, 51.5]",Male,2015,Morenci,oeste,Gunshot,"(553.553, 13803.5]",37579
e6037b1d4793c9a372f3a29ecfacf0cc8c848445a6200b4bcb4db4569865bb53,"(14.927, 51.5]",Male,2015,Owensboro,sur,Gunshot,"(553.553, 13803.5]",33294
0a2c13ef1a4a1ce31980d5e8e7a77ae1fdeb08881245be79a11e8f42ddfa9fca,"(14.927, 51.5]",Male,2015,Jonesboro,sur,Gunshot,"(553.553, 13803.5]",22080
4df93500681a151e1af4092023485bc5c3ff562c0e99068b47cbd382b0f5f584,"(14.927, 51.5]",Male,2015,Portland,oeste,Gunshot,"(553.553, 13803.5]",21049
39c7b7208ef7b712c87d2fd7edb2197ec0cb605c399f72072c330a0e6b1ddb7b,"(14.927, 51.5]",Male,2015,Winchester,sur,Gunshot,"(553.553, 13803.5]",21845
6f4e9f3961dd0deb565a9052fec5db53de01e3b7355fe08433a683f33dc9d838,"(51.5, 88.0]",Male,2015,Follansbee,sur,Gunshot,"(553.553, 13803.5]",23583
23745578de5d9b91536cdbf9c8529d1518f9eafd4040bf0818532e1a5fb51ae1,"(14.927, 51.5]",Male,2015,Provo,oeste,Gunshot,"(553.553, 13803.5]",14816
bef8d51d1677fb538de7b58b98659017264e02f813f4a164035fa549bb49f485,"(14.927, 51.5]",Male,2015,Rosenberg,sur,Gunshot,"(553.553, 13803.5]",22235
34c1568c94172b231620b1345e2e4d639d2efc1ac8b2347410c870002ed94c15,"(14.927, 51.5]",Male,2015,Columbia,centro,Gunshot,"(553.553, 13803.5]",21264
053ab2b03a9f28e198db6b39ca88a1eda5ae090039df587988c313eda12a8bb3,"(14.927, 51.5]",Female,2015,Moultrie,sur,Gunshot,"(553.553, 13803.5]",21667
dd94449af34419bfa735f59af8bb02ae9a934641728786f50b4cc071c70f3677,"(14.927, 51.5]",Male,2015,Jacksonville,sur,Gunshot,"(553.553, 13803.5]",22472
f2b9095311205f775a58bdf61ecdd13f2467c54853112f4c156943a26546b54b,"(14.927, 51.5]",Male,2015,Silver Spring,este,Taser,"(553.553, 13803.5]",25799
54effc88619aeb7e7156b71fd91047d5b4a4126fbb9f339f665e63db1911e861,"(14.927, 51.5]",Male,2015,New York,norte,Gunshot,"(553.553, 13803.5]",21344
b0067783c7ec50a16f7be6f63a5890e2f183133c16ffe13a8dbdb4ddc430f6a1,"(14.927, 51.5]",Male,2015,Sidney,centro,Gunshot,"(553.553, 13803.5]",30465
b0089af3e12977cb27828b7e1655d7e5f713ed1a3615752769241f0e72eb99ad,"(14.927, 51.5]",Male,2015,Fort Worth,sur,Gunshot,"(553.553, 13803.5]",19146
b6952d4c91e791a22c388a3cd35c7fa7edf2c12bea074c1e083ce40c3ec84180,"(51.5, 88.0]",Male,2015,Marana,oeste,Gunshot,"(553.553, 13803.5]",38593
b004f99c74dc0f53ce2a1d1e0658cf0698634fcdd2a04f7a3cde240c7aca4595,"(14.927, 51.5]",Male,2015,Lakewood,oeste,Gunshot,"(553.553, 13803.5]",21626
0aef6002c88ca38c5578cef9375b037538d1f72729193a32b3a6ab253f297800,"(51.5, 88.0]",Male,2015,Clermont,sur,Gunshot,"(553.553, 13803.5]",24749
d7aeaf483fae5590530ef92626f8d9798193e329c9c6a613a64194a7def6e17b,"(14.927, 51.5]",Male,2015,Omaha,centro,Gunshot,"(553.553, 13803.5]",16218
ced630ebc5d7c80c725dc801704a3d06b73f1333c93caa7b56c7da415318432e,"(14.927, 51.5]",Male,2015,San Manuel,oeste,Gunshot,"(553.553, 13803.5]",22833
8c9187c8fcae8ed538db2197f8ae08cc41dff3a3a54073a26c7ac183205521f7,"(14.927, 51.5]",Male,2015,Union,este,Gunshot,"(553.553, 13803.5]",39122
0a56d9d069b4abfd7f64d25bd55f9a318e16371efdbcc9dea68c05dd4c16940e,"(14.927, 51.5]",Male,2015,Baltimore,este,Gunshot,"(553.553, 13803.5]",11157
5aa60c953e44f6187303840318265fe8c54c6bce12ac7c0367d82d638a103c91,"(14.927, 51.5]",Male,2015,Oklahoma City,centro,Taser,"(553.553, 13803.5]",22857
c9d742badd01a0de6887238214053f2487475941046a5230c58f3a34c2e1dd9a,"(14.927, 51.5]",Male,2015,Hagerstown,este,Taser,"(553.553, 13803.5]",12109
691bc6d3bfd3f7e4dbe2d305cde60d15e49d387389d43246862e26df5ae31f70,"(51.5, 88.0]",Male,2015,Lancaster,sur,Gunshot,"(553.553, 13803.5]",22385
70541a9a72030f9bd0477d04bd316a3280ca0bb1f135cd204cbf913ef19c3787,"(14.927, 51.5]",Male,2015,Rock Island,centro,Gunshot,"(553.553, 13803.5]",20610
0016ac23de8c997affe858d2dc93e89489121c36030b24e0b35a0b945a7642ff,"(14.927, 51.5]",Male,2015,Rexburg,oeste,Gunshot,"(553.553, 13803.5]",10987
89c8e8ab47afb065fd82790dd8473300d14ab5103e86671068e88da1b07926d2,"(14.927, 51.5]",Male,2015,Lakeland,sur,Gunshot,"(553.553, 13803.5]",21474
c41b56d5fbe1602f748e07e22bf7a8d665b1a84a316212da2d272079c3052c43,"(14.927, 51.5]",Male,2015,Grand Junction,oeste,Gunshot,"(553.553, 13803.5]",21109
4bdbf5cf3813842f2a6125ae037d8a3f482728ef50de72ed41c9f1e47fff2c4f,"(14.927, 51.5]",Male,2015,El Paso,sur,Gunshot,"(553.553, 13803.5]",18438
a13d18767b15844f4adaa45b47b3003df6df9515ec0ed83afe32f2a13504f60b,"(14.927, 51.5]",Male,2015,Wasco,oeste,Gunshot,"(553.553, 13803.5]",12741
5ab2da886352ed00f2113c52a0c02bbaf02b51a16e2bb502c7255279d0779e8d,"(14.927, 51.5]",Male,2015,Wake Forest,sur,Gunshot,"(553.553, 13803.5]",30061
3bd3bfe864c249c8eba25ca06cd3103ac0ecd405c5b28a81499d9d2ac7c44f27,"(14.927, 51.5]",Male,2015,Rockwood,norte,Taser,"(553.553, 13803.5]",29488
